import time: self [us] | cumulative | imported package
import time:       291 |        291 |                     array
import time:      8082 |      11894 |                   socket
import time:      3184 |       3184 |                     _datetime
import time:       471 |       3654 |                   datetime
import time:       304 |        304 |                         _locale
import time:      2640 |       2944 |                       locale
import time:      2483 |       5426 |                     calendar
import time:       792 |       6218 |                   email._parseaddr
import time:      1070 |       1070 |                       base64
import time:       455 |       1525 |                     email.base64mime
import time:       114 |        114 |                         _string
import time:      2001 |       2114 |                       string
import time:       771 |       2885 |                     email.quoprimime
import time:      1341 |       1341 |                     email.errors
import time:       531 |        531 |                     email.encoders
import time:       800 |       7080 |                   email.charset
import time:      1500 |      30344 |                 email.utils
import time:      2458 |       2458 |                   email.header
import time:      1777 |       4235 |                 email._policybase
import time:       980 |        980 |                 email._encoded_words
import time:      2300 |       2300 |                 email.iterators
import time:      3536 |      42038 |               email.message
import time:      1982 |       1982 |                 importlib.metadata._functools
import time:      1020 |       3001 |               importlib.metadata._text
import time:      4559 |      49597 |             importlib.metadata._adapters
import time:      8789 |       8789 |             importlib.metadata._meta
import time:      5584 |       5584 |             importlib.metadata._collections
import time:       451 |        451 |             importlib.metadata._itertools
import time:      5012 |      74567 |           importlib.metadata
import time:      1189 |       1189 |           shlex
import time:      4898 |       4898 |           _pytest.config.compat
import time:      1711 |       1711 |           _pytest.config.exceptions
import time:      2185 |       2185 |               iniconfig.exceptions
import time:      3663 |       3663 |               iniconfig._parse
import time:      6319 |      12166 |             iniconfig
import time:      4558 |      16723 |           _pytest.config.findpaths
import time:     13002 |      13002 |           _pytest.config.argparsing
import time:      6349 |       6349 |           _pytest.hookspec
import time:      1946 |       1946 |           _pytest.stash
import time:     42613 |     169698 |         _pytest.config
import time:     14711 |     198967 |       _pytest.assertion.util
import time:     10654 |      10654 |               _pytest.mark.expression
import time:      2742 |       2742 |                 _pytest.scope
import time:     10338 |      13079 |               _pytest.mark.structures
import time:      5988 |      29719 |             _pytest.mark
import time:        85 |      29803 |           _pytest.mark.structures
import time:      8818 |      38621 |         _pytest.nodes
import time:      5857 |       5857 |         _pytest.reports
import time:      7946 |       7946 |           bdb
import time:       359 |        359 |           _pytest.timing
import time:      7643 |      15947 |         _pytest.runner
import time:     17530 |      77954 |       _pytest.main
import time:     28352 |     314726 |     _pytest.assertion.rewrite
import time:      1246 |       1246 |     _pytest.assertion.truncate
import time:      4450 |     320421 |   _pytest.assertion
import time:       142 |        142 |           _json
import time:       885 |       1026 |         json.scanner
import time:      1027 |       2053 |       json.decoder
import time:       982 |        982 |       json.encoder
import time:       597 |       3631 |     json
import time:     30069 |      30069 |     _pytest.fixtures
import time:      7639 |      41338 |   _pytest.cacheprovider
import time:     12064 |      12064 |   _pytest.capture
import time:      1990 |       1990 |         unittest.util
import time:      2499 |       4488 |       unittest.result
import time:        76 |         76 |             _heapq
import time:       304 |        379 |           heapq
import time:      1108 |       1487 |         difflib
import time:     14642 |      16129 |       unittest.case
import time:      3909 |       3909 |       unittest.suite
import time:      5297 |       5297 |       unittest.loader
import time:      1155 |       1155 |             signal
import time:       931 |       2086 |           unittest.signals
import time:      3336 |       5422 |         unittest.runner
import time:      3551 |       8972 |       unittest.main
import time:       929 |      39721 |     unittest
import time:      4503 |      44223 |   _pytest.debugging
import time:     20318 |      20318 |     _pytest.python
import time:       619 |        619 |           numbers
import time:       898 |       1516 |         _decimal
import time:       368 |       1884 |       decimal
import time:      7656 |       9539 |     _pytest.python_api
import time:      7495 |      37351 |   _pytest.doctest
import time:       710 |        710 |   _pytest.freeze_support
import time:       155 |        155 |       fcntl
import time:       140 |        140 |       msvcrt
import time:        54 |         54 |       _posixsubprocess
import time:      1092 |       1439 |     subprocess
import time:      3389 |       3389 |     _pytest.monkeypatch
import time:       131 |        131 |       gc
import time:      3945 |       3945 |       _pytest.tmpdir
import time:     18870 |      22945 |     _pytest.pytester
import time:     19408 |      19408 |     _pytest.terminal
import time:      4940 |      52119 |   _pytest.legacypath
import time:      2826 |       2826 |     logging
import time:      9497 |      12322 |   _pytest.logging
import time:      3372 |       3372 |   _pytest.recwarn
import time:      2051 |     666072 | pytest
import time:      2751 |       2751 | _pytest.helpconfig
import time:      4980 |       4980 | _pytest.unittest
import time:      5409 |       5409 | _pytest.skipping
import time:      1560 |       1560 | _pytest.pastebin
import time:       397 |        397 |       xml
import time:       385 |        782 |     xml.etree
import time:      4801 |       4801 |     xml.etree.ElementPath
import time:       192 |        192 |       pyexpat
import time:       183 |        374 |     _elementtree
import time:     18873 |      24828 |   xml.etree.ElementTree
import time:      8121 |      32949 | _pytest.junitxml
import time:      1271 |       1271 | _pytest.setuponly
import time:       581 |        581 | _pytest.setupplan
import time:      1713 |       1713 | _pytest.stepwise
import time:      1698 |       1698 | _pytest.warnings
import time:       696 |        696 | _pytest.python_path
import time:      1109 |       1109 | _pytest.unraisableexception
import time:      1012 |       1012 | _pytest.threadexception
import time:      1124 |       1124 | _pytest.faulthandler
import time:      2728 |       2728 | _pytest._argcomplete
import time:       198 |        198 |       tomllib._types
import time:      1603 |       1801 |     tomllib._re
import time:       942 |       2743 |   tomllib._parser
import time:       280 |       3022 | tomllib
import time:       608 |        608 |   anyio._core
import time:       355 |        355 |     sniffio._version
import time:       119 |        119 |         _contextvars
import time:       280 |        399 |       contextvars
import time:       707 |       1105 |     sniffio._impl
import time:       576 |       2036 |   sniffio
import time:      3551 |       6194 | anyio._core._eventloop
import time:      3706 |       3706 | anyio._core._exceptions
import time:      7626 |       7626 |       anyio.abc._eventloop
import time:      1379 |       1379 |       anyio.abc._resources
import time:      2138 |       2138 |         anyio._core._typedattr
import time:      2136 |       2136 |           anyio.abc._tasks
import time:      4263 |       6399 |         anyio.abc._streams
import time:      6120 |      14655 |       anyio.abc._sockets
import time:      1799 |       1799 |       anyio.abc._subprocesses
import time:      1710 |       1710 |       anyio.abc._testing
import time:      5376 |       5376 |         anyio.lowlevel
import time:      2861 |       2861 |         anyio._core._tasks
import time:      1818 |       1818 |         anyio._core._testing
import time:     23694 |      33747 |       anyio._core._synchronization
import time:       387 |        387 |           concurrent
import time:       898 |        898 |           concurrent.futures._base
import time:       412 |       1696 |         concurrent.futures
import time:     12373 |      14068 |       anyio.from_thread
import time:      1512 |      76493 |     anyio.abc
import time:      1285 |      77778 |   anyio.to_thread
import time:     22072 |      99850 | anyio._core._fileio
import time:      1282 |       1282 | anyio._core._resources
import time:      1201 |       1201 | anyio._core._signals
