import time: self [us] | cumulative | imported package
import time:      1283 |       1283 |                     _datetime
import time:       200 |       1483 |                   datetime
import time:       114 |        114 |                         _locale
import time:      1065 |       1179 |                       locale
import time:      1097 |       2276 |                     calendar
import time:       355 |       2630 |                   email._parseaddr
import time:       443 |        443 |                       base64
import time:       194 |        636 |                     email.base64mime
import time:        60 |         60 |                         _string
import time:       868 |        928 |                       string
import time:       334 |       1261 |                     email.quoprimime
import time:       598 |        598 |                     email.errors
import time:       181 |        181 |                     email.encoders
import time:       343 |       3018 |                   email.charset
import time:       574 |      10592 |                 email.utils
import time:       778 |        778 |                   email.header
import time:       404 |       1182 |                 email._policybase
import time:       372 |        372 |                 email._encoded_words
import time:       315 |        315 |                 email.iterators
import time:       684 |      13361 |               email.message
import time:       156 |        156 |                 importlib.metadata._functools
import time:       220 |        376 |               importlib.metadata._text
import time:       362 |      14097 |             importlib.metadata._adapters
import time:       540 |        540 |             importlib.metadata._meta
import time:       374 |        374 |             importlib.metadata._collections
import time:       166 |        166 |             importlib.metadata._itertools
import time:      1360 |      19151 |           importlib.metadata
import time:       392 |        392 |           shlex
import time:      1601 |       1601 |           _pytest.config.compat
import time:       326 |        326 |           _pytest.config.exceptions
import time:       510 |        510 |               iniconfig.exceptions
import time:      1185 |       1185 |               iniconfig._parse
import time:      1998 |       3692 |             iniconfig
import time:      1975 |       5666 |           _pytest.config.findpaths
import time:      4790 |       4790 |           _pytest.config.argparsing
import time:      2511 |       2511 |           _pytest.hookspec
import time:       816 |        816 |           _pytest.stash
import time:     16800 |      54685 |         _pytest.config
import time:      5181 |      65034 |       _pytest.assertion.util
import time:      4640 |       4640 |               _pytest.mark.expression
import time:      1063 |       1063 |                 _pytest.scope
import time:      6332 |       7395 |               _pytest.mark.structures
import time:      2936 |      14969 |             _pytest.mark
import time:        44 |      15013 |           _pytest.mark.structures
import time:      5016 |      20028 |         _pytest.nodes
import time:      4456 |       4456 |         _pytest.reports
import time:      5627 |       5627 |           bdb
import time:       276 |        276 |           _pytest.timing
import time:      5213 |      11115 |         _pytest.runner
import time:      9080 |      44678 |       _pytest.main
import time:     13879 |     127995 |     _pytest.assertion.rewrite
import time:       872 |        872 |     _pytest.assertion.truncate
import time:      1640 |     130506 |   _pytest.assertion
import time:        72 |         72 |           _json
import time:       429 |        501 |         json.scanner
import time:       551 |       1051 |       json.decoder
import time:       520 |        520 |       json.encoder
import time:       318 |       1887 |     json
import time:     20108 |      20108 |     _pytest.fixtures
import time:      5617 |      27610 |   _pytest.cacheprovider
import time:      9035 |       9035 |   _pytest.capture
import time:      1674 |       1674 |         unittest.util
import time:      2094 |       3768 |       unittest.result
import time:        66 |         66 |             _heapq
import time:       269 |        335 |           heapq
import time:       935 |       1269 |         difflib
import time:     11490 |      12759 |       unittest.case
import time:      3125 |       3125 |       unittest.suite
import time:      4212 |       4212 |       unittest.loader
import time:       995 |        995 |             signal
import time:       804 |       1798 |           unittest.signals
import time:      2803 |       4601 |         unittest.runner
import time:      2367 |       6967 |       unittest.main
import time:       614 |      31443 |     unittest
import time:      3176 |      34618 |   _pytest.debugging
import time:     15906 |      15906 |     _pytest.python
import time:       436 |        436 |           numbers
import time:       672 |       1107 |         _decimal
import time:       280 |       1387 |       decimal
import time:      6267 |       7653 |     _pytest.python_api
import time:      5618 |      29176 |   _pytest.doctest
import time:       516 |        516 |   _pytest.freeze_support
import time:        95 |         95 |       fcntl
import time:       112 |        112 |       msvcrt
import time:        45 |         45 |       _posixsubprocess
import time:       836 |       1086 |     subprocess
import time:      2616 |       2616 |     _pytest.monkeypatch
import time:       120 |        120 |       gc
import time:      2961 |       2961 |       _pytest.tmpdir
import time:     14832 |      17912 |     _pytest.pytester
import time:     16234 |      16234 |     _pytest.terminal
import time:      4231 |      42078 |   _pytest.legacypath
import time:      2298 |       2298 |     logging
import time:      8102 |      10399 |   _pytest.logging
import time:      2974 |       2974 |   _pytest.recwarn
import time:      1234 |     380231 | pytest
import time:      2438 |       2438 | _pytest.helpconfig
import time:      4787 |       4787 | _pytest.unittest
import time:      4808 |       4808 | _pytest.skipping
import time:      1360 |       1360 | _pytest.pastebin
import time:       336 |        336 |       xml
import time:       305 |        640 |     xml.etree
import time:      4175 |       4175 |     xml.etree.ElementPath
import time:       179 |        179 |       pyexpat
import time:       171 |        350 |     _elementtree
import time:     15370 |      20533 |   xml.etree.ElementTree
import time:      7666 |      28198 | _pytest.junitxml
import time:      1252 |       1252 | _pytest.setuponly
import time:       572 |        572 | _pytest.setupplan
import time:      1270 |       1270 | _pytest.stepwise
import time:      1471 |       1471 | _pytest.warnings
import time:       578 |        578 | _pytest.python_path
import time:       973 |        973 | _pytest.unraisableexception
import time:       936 |        936 | _pytest.threadexception
import time:      1078 |       1078 | _pytest.faulthandler
import time:      2329 |       2329 | _pytest._argcomplete
import time:       186 |        186 |       tomllib._types
import time:      1507 |       1693 |     tomllib._re
import time:       878 |       2570 |   tomllib._parser
